"collection_date","site","season","collection_temp","collection_salinity","exp_date","days_in_lab","run","replicate","tube","rank","size","time","ramp_rate","ctmax","warming_tol"
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,1,6,0.808,17.1333333333333,0.160839160839145,37.9553571428571,3.95535714285715
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,2,5,0.778,17.7333333333333,0.160839160839145,38.0520833333333,4.05208333333334
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,3,7,0.761,16.4333333333333,0.164335664335649,37.84375,3.84375
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,4,10,0.776,14.9166666666667,0.176748251748234,37.5572916666667,3.55729166666666
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,5,2,0.772,20.5333333333333,0.164860139860124,38.5416666666667,4.54166666666666
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,6,3,0.616,20.1,0.164860139860124,38.4583333333333,4.45833333333334
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,7,4,0.593,18.85,0.165559440559424,38.2375,4.2375
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,8,9,0.771,15.45,0.171678321678306,37.6496212121212,3.64962121212121
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,9,8,0.725,15.9833333333333,0.171678321678306,37.7625,3.7625
2023-08-09,"Manatee River","peak",34,29,2023-08-09,0,14,2,10,1,0.79,21.5166666666667,0.170279720279703,38.7291666666667,4.72916666666666
