"sample","Clade","n","population","season","individual"
"MR_late_1_01","F",5836,"MR","late","1_01"
"MR_late_1_01","S",15,"MR","late","1_01"
"MR_late_1_01","X",66,"MR","late","1_01"
"MR_late_1_02","F",6,"MR","late","1_02"
"MR_late_1_02","S",28896,"MR","late","1_02"
"MR_late_1_03","F",12,"MR","late","1_03"
"MR_late_1_03","S",3970,"MR","late","1_03"
"MR_late_1_04","S",7204,"MR","late","1_04"
"MR_late_1_05","F",8684,"MR","late","1_05"
"MR_late_1_06","F",7296,"MR","late","1_06"
"MR_late_1_07","F",4,"MR","late","1_07"
"MR_late_1_07","S",7627,"MR","late","1_07"
"MR_late_1_08","F",7904,"MR","late","1_08"
"MR_late_1_08","S",502,"MR","late","1_08"
"MR_late_1_09","S",33768,"MR","late","1_09"
"MR_late_1_09","X",32,"MR","late","1_09"
"MR_late_1_10","F",5976,"MR","late","1_10"
"MR_late_2_01","S",10304,"MR","late","2_01"
"MR_late_2_02","S",12072,"MR","late","2_02"
"MR_late_2_03","F",5,"MR","late","2_03"
"MR_late_2_03","IV",28,"MR","late","2_03"
"MR_late_2_03","S",28501,"MR","late","2_03"
"MR_late_2_04","F",11077,"MR","late","2_04"
"MR_late_2_05","F",6861,"MR","late","2_05"
"MR_late_2_05","S",13,"MR","late","2_05"
"MR_late_2_05","X",23,"MR","late","2_05"
"MR_late_2_06","F",8694,"MR","late","2_06"
"MR_late_2_06","X",28,"MR","late","2_06"
"MR_late_2_07","F",8055,"MR","late","2_07"
"MR_late_2_07","IV",5,"MR","late","2_07"
"MR_late_2_07","S",12,"MR","late","2_07"
"MR_late_2_08","F",5735,"MR","late","2_08"
"MR_late_2_08","S",13,"MR","late","2_08"
"MR_late_2_08","X",22,"MR","late","2_08"
"MR_late_2_09","F",3417,"MR","late","2_09"
"MR_late_2_09","IV",7,"MR","late","2_09"
"MR_late_2_09","X",1,"MR","late","2_09"
"MR_late_2_10","F",4363,"MR","late","2_10"
"MR_late_2_10","S",13,"MR","late","2_10"
"MR_peak_1_01","F",4172,"MR","peak","1_01"
"MR_peak_1_01","IV",22,"MR","peak","1_01"
"MR_peak_1_01","S",1,"MR","peak","1_01"
"MR_peak_1_01","X",23,"MR","peak","1_01"
"MR_peak_1_02","F",6213,"MR","peak","1_02"
"MR_peak_1_02","S",10,"MR","peak","1_02"
"MR_peak_1_02","X",95,"MR","peak","1_02"
"MR_peak_1_03","F",5538,"MR","peak","1_03"
"MR_peak_1_04","F",1984,"MR","peak","1_04"
"MR_peak_1_04","X",73,"MR","peak","1_04"
"MR_peak_1_05","F",933,"MR","peak","1_05"
"MR_peak_1_05","IV",7,"MR","peak","1_05"
"MR_peak_1_06","F",13051,"MR","peak","1_06"
"MR_peak_1_06","X",22,"MR","peak","1_06"
"MR_peak_1_07","F",3917,"MR","peak","1_07"
"MR_peak_1_07","IV",7,"MR","peak","1_07"
"MR_peak_1_07","X",40,"MR","peak","1_07"
"MR_peak_1_08","F",2409,"MR","peak","1_08"
"MR_peak_1_09","F",5409,"MR","peak","1_09"
"MR_peak_1_10","F",4135,"MR","peak","1_10"
"MR_peak_1_10","IV",5,"MR","peak","1_10"
"MR_peak_1_10","S",34,"MR","peak","1_10"
"MR_peak_1_10","X",20,"MR","peak","1_10"
"MR_peak_2_01","F",3810,"MR","peak","2_01"
