"sample","population","season","rep","tube","Clade"
"CT_early_1_01","CT","early",1,1,"IV"
"CT_early_1_01","CT","early",1,1,"X"
"CT_early_1_02","CT","early",1,2,"S"
"CT_early_1_02","CT","early",1,2,"IV"
"CT_early_1_03","CT","early",1,3,"IV"
"CT_early_1_04","CT","early",1,4,"X"
"CT_early_1_05","CT","early",1,5,"IV"
"CT_early_1_05","CT","early",1,5,"S"
"CT_early_1_06","CT","early",1,6,"F"
"CT_early_1_07","CT","early",1,7,"X"
"CT_early_1_08","CT","early",1,8,"X"
"CT_early_1_09","CT","early",1,9,"F"
"CT_early_1_09","CT","early",1,9,"S"
"CT_early_1_10","CT","early",1,10,"X"
"CT_early_1_10","CT","early",1,10,"F"
"CT_early_2_01","CT","early",2,1,"X"
"CT_early_2_02","CT","early",2,2,"X"
"CT_early_2_03","CT","early",2,3,"A_hudsonica"
"CT_early_2_04","CT","early",2,4,"F"
"CT_early_2_05","CT","early",2,5,"S"
"CT_early_2_06","CT","early",2,6,"X"
"CT_early_2_06","CT","early",2,6,"F"
"CT_early_2_07","CT","early",2,7,"S"
"CT_early_2_08","CT","early",2,8,"S"
"CT_early_2_09","CT","early",2,9,"F"
"CT_early_2_10","CT","early",2,10,"F"
"CT_late_1_01","CT","late",1,1,"IV"
"CT_late_1_01","CT","late",1,1,"X"
"CT_late_1_02","CT","late",1,2,"IV"
"CT_late_1_03","CT","late",1,3,"IV"
"CT_late_1_03","CT","late",1,3,"F"
"CT_late_1_04","CT","late",1,4,"S"
"CT_late_1_05","CT","late",1,5,"IV"
"CT_late_1_06","CT","late",1,6,"IV"
"CT_late_1_07","CT","late",1,7,"IV"
"CT_late_1_08","CT","late",1,8,"IV"
"CT_late_1_09","CT","late",1,9,"S"
"CT_late_1_10","CT","late",1,10,"IV"
"CT_late_2_01","CT","late",2,1,"IV"
"CT_late_2_02","CT","late",2,2,"IV"
"CT_late_2_03","CT","late",2,3,"IV"
"CT_late_2_04","CT","late",2,4,"IV"
"CT_late_2_05","CT","late",2,5,"IV"
"CT_late_2_06","CT","late",2,6,"IV"
"CT_late_2_07","CT","late",2,7,"S"
"CT_late_2_08","CT","late",2,8,"IV"
"CT_late_2_09","CT","late",2,9,"IV"
"CT_late_2_09","CT","late",2,9,"X"
"CT_late_2_09","CT","late",2,9,"F"
"CT_late_2_10","CT","late",2,10,"IV"
"CT_late_2_10","CT","late",2,10,"S"
"CT_late_2_10","CT","late",2,10,"F"
"CT_late_2_10","CT","late",2,10,"X"
"CT_peak_1_01","CT","peak",1,1,"S"
"CT_peak_1_02","CT","peak",1,2,"S"
"CT_peak_1_03","CT","peak",1,3,"S"
"CT_peak_1_05","CT","peak",1,5,"S"
"CT_peak_1_06","CT","peak",1,6,"S"
"CT_peak_1_07","CT","peak",1,7,"S"
"CT_peak_1_08","CT","peak",1,8,"X"
"CT_peak_1_09","CT","peak",1,9,"S"
"CT_peak_1_10","CT","peak",1,10,"S"
"CT_peak_2_01","CT","peak",2,1,"S"
"CT_peak_2_02","CT","peak",2,2,"S"
"CT_peak_2_02","CT","peak",2,2,"X"
"CT_peak_2_03","CT","peak",2,3,"S"
"CT_peak_2_04","CT","peak",2,4,"S"
"CT_peak_2_05","CT","peak",2,5,"S"
"CT_peak_2_06","CT","peak",2,6,"S"
"CT_peak_2_07","CT","peak",2,7,"S"
"CT_peak_2_08","CT","peak",2,8,"X"
"CT_peak_2_09","CT","peak",2,9,"X"
"CT_peak_2_10","CT","peak",2,10,"X"
"FH_late_1_01","FH","late",1,1,"F"
"FH_late_1_02","FH","late",1,2,"F"
"FH_late_1_03","FH","late",1,3,"F"
"FH_late_1_04","FH","late",1,4,"F"
"FH_late_1_05","FH","late",1,5,"F"
"FH_late_1_06","FH","late",1,6,"F"
"FH_late_1_07","FH","late",1,7,"F"
"FH_late_1_08","FH","late",1,8,"F"
"FH_late_1_09","FH","late",1,9,"F"
"FH_late_1_10","FH","late",1,10,"F"
"FH_late_2_01","FH","late",2,1,"F"
"FH_late_2_02","FH","late",2,2,"F"
"FH_late_2_03","FH","late",2,3,"F"
"FH_late_2_04","FH","late",2,4,"F"
