"collection_date","site","season","collection_temp","collection_salinity","exp_date","days_in_lab","run","replicate","tube","rank","size","time","ramp_rate","ctmax","warming_tol"
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,1,8,0.985,33.9166666666667,0.180769230769217,34.0354166666667,10.0354166666667
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,2,7,0.859,37.5,0.177272727272718,34.6822916666667,10.6822916666667
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,3,9,0.9,32.1333333333333,0.181293706293693,33.6625,9.6625
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,4,6,0.777,40.4833333333333,0.180769230769222,35.2470238095238,11.2470238095238
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,5,10,0.954,26.2166666666667,0.203496503496489,32.5227272727273,8.52272727272727
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,6,4,0.777,43.7833333333333,0.190734265734259,35.8645833333333,11.8645833333333
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,7,5,0.799,42.2833333333333,0.189160839160831,35.5763888888889,11.5763888888889
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,8,3,0.788,44.3666666666667,0.197377622377616,35.9722222222222,11.9722222222222
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,9,1,0.783,50.2666666666667,0.177272727272716,37.0208333333333,13.0208333333333
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,1,1,10,2,0.757,46.65,0.183916083916075,36.4027777777778,12.4027777777778
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,1,1,0.82,55.95,0.171678321678313,36.4375,12.4375
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,2,8,0.817,45.5,0.178846153846143,34.6375,10.6375
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,3,10,0.687,21.1,0.201748251748246,30.0260416666667,6.02604166666667
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,4,2,0.797,54.1833333333333,0.172377622377614,36.1666666666667,12.1666666666667
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,5,9,1.02,39.9166666666667,0.17202797202796,33.6401515151515,9.64015151515152
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,6,7,0.813,46.3333333333333,0.178321678321667,34.7890625,10.7890625
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,7,5,0.862,51.8333333333333,0.179545454545444,35.7569444444444,11.7569444444444
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,8,6,0.898,51.2833333333333,0.179545454545444,35.6339285714286,11.6339285714286
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,9,3,0.804,53.6833333333333,0.177797202797194,36.0763888888889,12.0763888888889
2023-07-07,"Esker Point","early",24,30,2023-07-07,0,2,2,10,4,0.786,53.3,0.177797202797194,36.0208333333333,12.0208333333333
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,1,3,0.708,37.8333333333333,0.211188811188802,38.1510416666667,7.15104166666666
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,2,9,0.725,31.8333333333333,0.20174825174824,36.8863636363636,5.88636363636363
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,3,10,0.691,30.75,0.20751748251747,36.6631944444444,5.66319444444444
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,4,5,0.651,36.3833333333333,0.205944055944047,37.825,6.825
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,5,1,0.63,38.75,0.209090909090897,38.375,7.375
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,6,8,0.676,33.3666666666667,0.199650349650339,37.1944444444444,6.19444444444444
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,7,7,0.65,34.9333333333333,0.19458041958041,37.515625,6.515625
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,8,6,0.686,35.6666666666667,0.205244755244745,37.6607142857143,6.66071428571428
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,9,2,0.672,37.9166666666667,0.211188811188802,38.1805555555556,7.18055555555556
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,3,1,10,4,0.714,37.1,0.211188811188802,37.975,6.975
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,1,5,0.688,34.4666666666667,0.173776223776214,37.8916666666667,6.89166666666667
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,2,1,0.727,39.0333333333333,0.191008158508149,38.7708333333333,7.77083333333334
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,3,6,0.653,33.5166666666667,0.175699300699291,37.6964285714286,6.69642857142857
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,4,2,0.625,38.25,0.186713286713274,38.625,7.625
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,5,10,0.599,29.2,0.190734265734253,36.8420138888889,5.84201388888889
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,6,8,0.623,31.5666666666667,0.175874125874113,37.3083333333333,6.30833333333333
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,7,4,0.605,35.15,0.179720279720269,38.0333333333333,7.03333333333333
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,8,9,0.607,29.5,0.190734265734253,36.9147727272727,5.91477272727273
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,9,7,0.616,33,0.169798951048942,37.5963541666667,6.59635416666666
2023-07-08,"Tyler Cove","early",31,15,2023-07-08,0,4,2,10,3,0.611,37.8666666666667,0.191958041958028,38.5416666666667,7.54166666666666
