"","sample","genome_territory","mean_coverage","sd_coverage","pct_1x","pct_5x","total_reads","pf_hq_aligned_reads"
"1","CT_early_1_01",950193284,0.003448,0.087918,0.002503,7e-05,35905,35905
"2","CT_early_1_02",950193284,1.549166,6.733093,0.219328,0.10287,20879496,20879496
"3","CT_early_1_03",950193284,0.718483,4.165889,0.134458,0.050767,9481925,9481925
"4","CT_early_1_04",950193284,2.818324,5.705562,0.442565,0.222883,24264896,24264896
"5","CT_early_1_05",950193284,0.804562,4.706321,0.142327,0.055343,10785955,10785955
"6","CT_early_1_06",950193284,0.918315,4.555142,0.179748,0.066049,10062709,10062709
"7","CT_early_1_07",950193284,1.759709,3.805854,0.358553,0.145042,15174986,15174986
"8","CT_early_1_08",950193284,3.097278,5.869398,0.463786,0.245054,26716612,26716612
"9","CT_early_1_09",950193284,1.56947,6.201925,0.248546,0.114444,17246722,17246722
"10","CT_early_1_10",950193284,1.71087,4.065363,0.337385,0.137135,14605033,14605033
"11","CT_early_2_01",950193284,3.03097,6.029871,0.447515,0.2357,25807603,25807603
"12","CT_early_2_02",950193284,2.162071,4.786595,0.384402,0.173099,18498513,18498513
"13","CT_early_2_03",950193284,0.050656,1.175697,0.015241,0.002477,2208575,2208575
"14","CT_early_2_04",950193284,0.988681,4.681088,0.192024,0.071909,10799327,10799327
"15","CT_early_2_05",950193284,1.280843,5.421665,0.19841,0.09035,16702976,16702976
"16","CT_early_2_06",950193284,0.451056,1.566649,0.138575,0.032154,3920106,3920106
"17","CT_early_2_07",950193284,1.447334,6.472807,0.197194,0.096188,19357172,19357172
"18","CT_early_2_08",950193284,1.319832,5.793084,0.193694,0.091781,17511896,17511896
"19","CT_early_2_09",950193284,2.122024,7.673106,0.280405,0.147519,23860337,23860337
"20","CT_early_2_10",950193284,2.385825,8.334392,0.295171,0.161502,27005258,27005258
"21","CT_late_1_01",950193284,1.034044,5.237153,0.168695,0.072764,13835324,13835324
"22","CT_late_1_02",950193284,0.888791,4.838472,0.152971,0.062067,11862811,11862811
"23","CT_late_1_03",950193284,0.847569,4.630301,0.149858,0.059862,11231700,11231700
"24","CT_late_1_04",950193284,0.653742,3.332074,0.137582,0.048341,8570076,8570076
"25","CT_late_1_05",950193284,0.795262,4.529316,0.143171,0.05579,10540874,10540874
"26","CT_late_1_06",950193284,0.878848,4.684663,0.155212,0.062364,11774452,11774452
"27","CT_late_1_07",950193284,0.807357,4.579767,0.146748,0.056697,10742558,10742558
"28","CT_late_1_08",950193284,0.823855,4.612246,0.147079,0.058035,10979361,10979361
"29","CT_late_1_09",950193284,0.705976,3.70988,0.14451,0.051113,10745462,10745462
"30","CT_late_1_10",950193284,0.771121,4.291674,0.142044,0.054649,10063459,10063459
"31","CT_late_2_01",950193284,0.620092,3.82192,0.124415,0.043468,8074886,8074886
