## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/CT_early_2_03_sorted.bam --OUTPUT results/align_metrics/CT_early_2_03_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 07:14:18 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.050656	1.175697	0	0	0	0	0	0.142826	0.012325	0.239552	0.046531	0.441233	0.015241	0.002477	0.000658	0.000329	0.000213	0.000155	0.000122	0.000083	0.000061	0.000049	0.000039	0.000033	0.000029	0.000025	?	?	?	0.01086	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	935711427
1	6772440
2	2728902
3	1609082
4	1017351
5	670125
6	439143
7	286456
8	195442
9	138095
10	96652
11	73104
12	58154
13	47517
14	36754
15	30817
16	24411
17	20774
18	18737
19	15653
20	14068
21	11804
22	10348
23	9624
24	8842
25	7560
26	6896
27	6680
28	5859
29	4994
30	4632
31	4226
32	3932
33	3969
34	3824
35	3550
36	3519
37	3070
38	2821
39	2881
40	2599
41	2449
42	2418
43	2119
44	1975
45	1935
46	2091
47	1957
48	1740
49	1452
50	1778
51	1375
52	1331
53	1151
54	1094
55	1275
56	1039
57	1021
58	959
59	1244
60	1052
61	1220
62	1164
63	898
64	839
65	900
66	771
67	717
68	656
69	741
70	732
71	531
72	528
73	491
74	622
75	512
76	502
77	595
78	526
79	631
80	480
81	320
82	355
83	437
84	472
85	524
86	490
87	446
88	437
89	402
90	363
91	371
92	453
93	332
94	440
95	370
96	312
97	255
98	297
99	326
100	322
101	277
102	269
103	319
104	286
105	235
106	269
107	256
108	287
109	217
110	274
111	273
112	222
113	277
114	358
115	194
116	224
117	260
118	167
119	221
120	218
121	152
122	149
123	226
124	201
125	175
126	224
127	208
128	218
129	172
130	133
131	102
132	108
133	201
134	180
135	145
136	136
137	176
138	172
139	168
140	143
141	102
142	123
143	105
144	110
145	161
146	117
147	85
148	139
149	130
150	100
151	162
152	211
153	154
154	203
155	120
156	116
157	129
158	106
159	137
160	143
161	127
162	66
163	145
164	98
165	96
166	100
167	74
168	81
169	50
170	41
171	91
172	89
173	76
174	66
175	60
176	81
177	49
178	51
179	95
180	128
181	52
182	99
183	76
184	101
185	50
186	51
187	53
188	84
189	47
190	54
191	94
192	73
193	84
194	62
195	69
196	67
197	63
198	42
199	39
200	72
201	62
202	58
203	76
204	44
205	25
206	63
207	49
208	80
209	87
210	41
211	59
212	35
213	36
214	69
215	34
216	65
217	60
218	56
219	73
220	35
221	34
222	41
223	29
224	20
225	82
226	26
227	42
228	26
229	30
230	23
231	51
232	36
233	39
234	26
235	48
236	25
237	13
238	13
239	26
240	47
241	18
242	26
243	60
244	29
245	64
246	46
247	62
248	42
249	20
250	7023

