## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/CT_late_1_02_sorted.bam --OUTPUT results/align_metrics/CT_late_1_02_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 07:39:54 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.888791	4.838472	0	0	0	0	0	0.088826	0.008794	0.08266	0.04141	0.22169	0.152971	0.062067	0.021756	0.009007	0.004583	0.002829	0.002008	0.001265	0.000927	0.000734	0.000603	0.000512	0.000441	0.000384	?	?	?	0.120539	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	804841277
1	31039930
2	22554822
3	18150318
4	14631053
5	11563379
6	9202731
7	7245670
8	5760851
9	4530560
10	3611870
11	2866027
12	2317374
13	1831182
14	1487668
15	1204341
16	979637
17	801432
18	667903
19	550209
20	458565
21	377233
22	322697
23	276581
24	231861
25	200812
26	174876
27	152043
28	135031
29	117030
30	104182
31	96013
32	86368
33	78412
34	71457
35	63646
36	57883
37	53534
38	48904
39	45967
40	41229
41	40124
42	37192
43	33823
44	30504
45	30437
46	28856
47	28329
48	26031
49	24997
50	22467
51	21609
52	21229
53	19532
54	18089
55	17051
56	16527
57	15732
58	15808
59	14712
60	14785
61	14703
62	13071
63	12782
64	12725
65	11937
66	11615
67	11519
68	11122
69	10489
70	9806
71	9417
72	9214
73	8947
74	8820
75	8521
76	8105
77	8040
78	7684
79	7802
80	7885
81	7655
82	7238
83	6953
84	6812
85	6301
86	6373
87	6598
88	5948
89	5831
90	5837
91	5742
92	5774
93	5473
94	5224
95	5548
96	5408
97	5197
98	5168
99	5095
100	5224
101	4955
102	4533
103	4200
104	4110
105	4389
106	4173
107	4189
108	4036
109	3852
110	3600
111	3626
112	3672
113	3548
114	3379
115	3245
116	3247
117	3197
118	3126
119	3286
120	3359
121	3266
122	2979
123	2905
124	2981
125	2903
126	3037
127	2991
128	2868
129	2858
130	2533
131	2568
132	2445
133	2499
134	2386
135	2383
136	2387
137	2442
138	2580
139	2398
140	2450
141	2275
142	2501
143	2394
144	2141
145	1974
146	2184
147	2158
148	2112
149	2114
150	2038
151	2057
152	2245
153	2020
154	1809
155	1769
156	1776
157	1611
158	1586
159	1492
160	1486
161	1399
162	1429
163	1344
164	1402
165	1409
166	1533
167	1565
168	1639
169	1520
170	1432
171	1532
172	1316
173	1357
174	1413
175	1321
176	1262
177	1287
178	1243
179	1171
180	1318
181	1161
182	1173
183	1199
184	1149
185	1145
186	1181
187	1162
188	1153
189	1115
190	1220
191	1163
192	1104
193	1011
194	979
195	990
196	981
197	989
198	940
199	981
200	1001
201	994
202	954
203	930
204	940
205	893
206	977
207	910
208	874
209	837
210	828
211	834
212	804
213	880
214	804
215	757
216	688
217	775
218	786
219	844
220	807
221	734
222	769
223	828
224	727
225	759
226	746
227	695
228	691
229	617
230	606
231	655
232	599
233	695
234	707
235	653
236	605
237	620
238	635
239	682
240	615
241	579
242	615
243	563
244	512
245	491
246	515
247	562
248	578
249	585
250	104523

