## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/CT_peak_2_04_sorted.bam --OUTPUT results/align_metrics/CT_peak_2_04_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 08:59:12 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.549519	6.504214	0	0	0	0	0	0.098092	0.008916	0.067627	0.029804	0.204439	0.210529	0.104335	0.046973	0.023011	0.012389	0.007399	0.00487	0.002649	0.001751	0.001302	0.001029	0.000846	0.000717	0.000621	?	?	?	0.17189	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	750149767
1	35169548
2	25995628
3	21623605
4	18116286
5	15128541
6	12615533
7	10573885
8	8809811
9	7377625
10	6242529
11	5234130
12	4421084
13	3722360
14	3147806
15	2706615
16	2311803
17	1956887
18	1674254
19	1443871
20	1238276
21	1066052
22	930890
23	803788
24	702149
25	609861
26	539532
27	466920
28	418330
29	368543
30	325550
31	292231
32	263220
33	234346
34	211352
35	188077
36	171956
37	152840
38	141713
39	129147
40	119559
41	109121
42	100032
43	92077
44	85136
45	78659
46	74616
47	69639
48	64596
49	59973
50	55368
51	51996
52	47225
53	44957
54	42250
55	40354
56	39714
57	36548
58	34098
59	33889
60	32120
61	30051
62	27940
63	26255
64	25915
65	26613
66	24191
67	22936
68	22569
69	21255
70	21544
71	20027
72	18697
73	18418
74	17800
75	16926
76	15767
77	15202
78	14736
79	14432
80	13889
81	13357
82	12971
83	12870
84	12383
85	11783
86	11599
87	11504
88	11124
89	10517
90	10451
91	10469
92	9871
93	9436
94	9260
95	8935
96	8482
97	8383
98	8071
99	7950
100	7677
101	7796
102	7653
103	7437
104	7470
105	7623
106	7093
107	6687
108	6872
109	6602
110	6630
111	6371
112	6261
113	5739
114	5799
115	5768
116	5778
117	5627
118	5638
119	5506
120	5414
121	5139
122	4926
123	4801
124	4593
125	4635
126	4833
127	4542
128	4269
129	4437
130	4268
131	4127
132	4058
133	4096
134	3977
135	3794
136	3839
137	3678
138	3613
139	3505
140	3375
141	3365
142	3454
143	3364
144	3322
145	3388
146	3357
147	3297
148	3262
149	3194
150	3248
151	2975
152	2664
153	2722
154	2729
155	2743
156	2713
157	2844
158	2764
159	2604
160	2541
161	2345
162	2292
163	2412
164	2450
165	2377
166	2510
167	2560
168	2545
169	2597
170	2463
171	2507
172	2389
173	2282
174	2398
175	2293
176	2245
177	2153
178	2124
179	2218
180	2043
181	2003
182	1884
183	1916
184	1923
185	1995
186	2106
187	1964
188	1956
189	1868
190	1839
191	1695
192	1766
193	1697
194	1760
195	1679
196	1667
197	1652
198	1690
199	1612
200	1822
201	1647
202	1650
203	1573
204	1560
205	1518
206	1488
207	1363
208	1381
209	1438
210	1377
211	1355
212	1365
213	1319
214	1301
215	1346
216	1278
217	1283
218	1269
219	1256
220	1226
221	1266
222	1192
223	1117
224	1164
225	1184
226	1200
227	1096
228	1087
229	1130
230	1195
231	1133
232	1070
233	1076
234	1118
235	1057
236	1124
237	1101
238	1068
239	1088
240	1126
241	1107
242	996
243	1096
244	1115
245	988
246	947
247	1011
248	943
249	1002
250	164454

