## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/FH_late_1_01_sorted.bam --OUTPUT results/align_metrics/FH_late_1_01_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 09:18:29 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.234753	4.598966	0	0	0	0	0	0.05763	0.009617	0.046886	0.012337	0.126469	0.227958	0.094215	0.031002	0.011319	0.004997	0.002735	0.001796	0.001056	0.000747	0.000569	0.000454	0.000377	0.000319	0.000276	?	?	?	0.178906	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	733589420
1	44307966
2	33363125
3	27176753
4	22233578
5	17950072
6	14367200
7	11460354
8	9094139
9	7193002
10	5643904
11	4484812
12	3530632
13	2811170
14	2232270
15	1768182
16	1426040
17	1146794
18	921542
19	744374
20	608948
21	493952
22	416352
23	346586
24	283550
25	237121
26	202710
27	172419
28	149362
29	130091
30	111868
31	97771
32	86174
33	78939
34	70300
35	63305
36	54276
37	51969
38	47039
39	42012
40	38323
41	35552
42	33814
43	32402
44	30128
45	28652
46	25807
47	24312
48	22955
49	21300
50	20999
51	19595
52	18763
53	18773
54	16707
55	15674
56	15549
57	15084
58	14158
59	13745
60	12493
61	12541
62	11709
63	11986
64	11639
65	10881
66	10296
67	9819
68	9573
69	8651
70	8188
71	8067
72	7845
73	7737
74	7646
75	7170
76	7034
77	6401
78	6717
79	6524
80	6407
81	6066
82	5603
83	5690
84	5787
85	5822
86	5409
87	4826
88	4556
89	4457
90	4699
91	4701
92	4209
93	4136
94	4129
95	3986
96	3978
97	4208
98	3615
99	3538
100	3495
101	3471
102	3594
103	3390
104	3389
105	3511
106	3251
107	3206
108	3216
109	3080
110	3058
111	2770
112	2687
113	2480
114	2562
115	2492
116	2387
117	2591
118	2494
119	2366
120	2403
121	2455
122	2406
123	2399
124	2360
125	2195
126	2277
127	2157
128	2232
129	2063
130	2059
131	1931
132	2098
133	1997
134	1856
135	1881
136	1929
137	1801
138	1637
139	1706
140	1716
141	1712
142	1805
143	1669
144	1634
145	1525
146	1510
147	1663
148	1604
149	1566
150	1504
151	1429
152	1360
153	1349
154	1288
155	1327
156	1233
157	1277
158	1272
159	1201
160	1197
161	1168
162	1054
163	1144
164	1105
165	1075
166	1050
167	1018
168	1028
169	1020
170	1087
171	1114
172	878
173	851
174	956
175	984
176	950
177	886
178	919
179	865
180	923
181	1077
182	894
183	892
184	894
185	870
186	898
187	835
188	795
189	767
190	775
191	837
192	762
193	811
194	813
195	745
196	712
197	718
198	746
199	674
200	716
201	663
202	675
203	674
204	630
205	595
206	638
207	734
208	686
209	674
210	689
211	686
212	671
213	555
214	646
215	674
216	653
217	596
218	546
219	598
220	631
221	623
222	590
223	550
224	629
225	662
226	597
227	558
228	530
229	511
230	559
231	548
232	561
233	515
234	619
235	581
236	600
237	473
238	534
239	483
240	512
241	499
242	501
243	480
244	478
245	448
246	428
247	453
248	432
249	432
250	65401

