## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/FH_peak_2_10_sorted.bam --OUTPUT results/align_metrics/FH_peak_2_10_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 10:55:40 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.181016	4.45867	0	0	0	0	0	0.0511	0.009393	0.0643	0.011097	0.13589	0.217434	0.090707	0.029591	0.010774	0.004729	0.002575	0.001683	0.000984	0.000696	0.00053	0.000425	0.000352	0.000296	0.000255	?	?	?	0.171865	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	743589136
1	41119267
2	31523817
3	26160667
4	21611182
5	17502613
6	13962722
7	11016402
8	8730320
9	6860019
10	5398132
11	4285672
12	3384380
13	2687302
14	2124398
15	1687448
16	1362346
17	1096525
18	880676
19	717089
20	582673
21	482450
22	393856
23	320193
24	267323
25	226623
26	194853
27	162605
28	142148
29	121065
30	105106
31	91058
32	81015
33	74270
34	64171
35	60455
36	55681
37	48770
38	44514
39	39503
40	36212
41	33501
42	31436
43	28408
44	26893
45	26082
46	24344
47	23346
48	21676
49	21198
50	19911
51	19791
52	18283
53	16328
54	15935
55	14366
56	14614
57	13322
58	13409
59	12135
60	12132
61	10747
62	10785
63	10884
64	10242
65	9546
66	9116
67	9017
68	8711
69	8351
70	8216
71	7942
72	7407
73	6965
74	6877
75	6842
76	6557
77	6285
78	6223
79	6349
80	6091
81	6194
82	5618
83	5571
84	5370
85	5164
86	5044
87	4747
88	4600
89	4496
90	4319
91	4093
92	3983
93	4027
94	4151
95	3946
96	3897
97	3865
98	3682
99	3468
100	3400
101	3255
102	3232
103	3275
104	3219
105	3106
106	3164
107	2952
108	3069
109	2979
110	2789
111	2691
112	2499
113	2478
114	2511
115	2516
116	2573
117	2537
118	2416
119	2219
120	2251
121	2110
122	2071
123	2001
124	1957
125	2056
126	2048
127	1993
128	1952
129	2029
130	1982
131	1827
132	1721
133	1826
134	1703
135	1623
136	1512
137	1440
138	1580
139	1557
140	1530
141	1410
142	1449
143	1444
144	1433
145	1487
146	1544
147	1455
148	1343
149	1401
150	1411
151	1407
152	1422
153	1401
154	1276
155	1142
156	1081
157	1122
158	1081
159	1106
160	1082
161	1069
162	1087
163	1012
164	1087
165	1037
166	1016
167	1011
168	975
169	956
170	942
171	956
172	890
173	804
174	820
175	854
176	885
177	919
178	938
179	778
180	790
181	810
182	797
183	889
184	806
185	780
186	752
187	853
188	740
189	789
190	771
191	791
192	744
193	809
194	792
195	770
196	756
197	824
198	846
199	800
200	794
201	809
202	758
203	736
204	728
205	691
206	673
207	692
208	678
209	683
210	728
211	663
212	598
213	613
214	589
215	630
216	604
217	625
218	545
219	506
220	446
221	454
222	509
223	513
224	498
225	545
226	572
227	481
228	482
229	552
230	520
231	522
232	497
233	490
234	488
235	500
236	498
237	495
238	455
239	456
240	445
241	423
242	495
243	480
244	489
245	453
246	445
247	453
248	409
249	437
250	58193

