## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/GW_early_1_03_sorted.bam --OUTPUT results/align_metrics/GW_early_1_03_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 11:02:42 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.904715	4.163374	0	0	0	0	0	0.049666	0.009494	0.068844	0.016016	0.144019	0.183688	0.066212	0.018885	0.006748	0.003237	0.001977	0.001411	0.000902	0.000664	0.000517	0.000421	0.00035	0.000298	0.000257	?	?	?	0.141785	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	775653963
1	39268197
2	29971968
3	23788869
4	18595725
5	14348009
6	10985057
7	8410719
8	6390579
9	4835409
10	3677800
11	2776731
12	2149435
13	1649305
14	1279567
15	1006907
16	787416
17	629531
18	503754
19	408454
20	336058
21	281487
22	226446
23	188372
24	165380
25	142856
26	119356
27	105703
28	90886
29	78388
30	72137
31	65160
32	58284
33	52438
34	47475
35	43148
36	41345
37	38904
38	34045
39	31132
40	29215
41	27618
42	26191
43	25053
44	22695
45	20705
46	19649
47	18411
48	18422
49	17678
50	16937
51	16835
52	15678
53	14316
54	13506
55	12991
56	12847
57	12886
58	12350
59	11536
60	10817
61	11046
62	10508
63	9398
64	9124
65	8792
66	8253
67	7476
68	7892
69	7885
70	7677
71	7382
72	7427
73	7142
74	6784
75	6243
76	6419
77	6326
78	6044
79	5842
80	5491
81	5189
82	5104
83	4903
84	4895
85	5231
86	5054
87	4709
88	4881
89	4640
90	4364
91	4068
92	3862
93	3886
94	3922
95	3829
96	3870
97	3697
98	3562
99	3491
100	3192
101	3219
102	3240
103	3207
104	3018
105	3014
106	2942
107	3142
108	2719
109	2844
110	2874
111	2759
112	2421
113	2423
114	2640
115	2401
116	2219
117	2246
118	2196
119	2246
120	2083
121	2027
122	2020
123	1949
124	1877
125	1855
126	2067
127	1885
128	1854
129	1917
130	1873
131	1791
132	1618
133	1610
134	1588
135	1635
136	1540
137	1551
138	1537
139	1571
140	1514
141	1453
142	1365
143	1307
144	1341
145	1348
146	1370
147	1466
148	1316
149	1282
150	1363
151	1283
152	1297
153	1263
154	1340
155	1209
156	1149
157	1130
158	1210
159	1143
160	1098
161	1025
162	1220
163	1205
164	1100
165	1150
166	1094
167	1026
168	1063
169	1071
170	1001
171	906
172	853
173	946
174	875
175	908
176	995
177	858
178	842
179	823
180	862
181	829
182	840
183	885
184	842
185	783
186	799
187	723
188	701
189	671
190	641
191	653
192	704
193	757
194	705
195	745
196	743
197	782
198	821
199	728
200	675
201	755
202	714
203	703
204	677
205	635
206	580
207	571
208	532
209	606
210	591
211	591
212	586
213	544
214	604
215	553
216	608
217	602
218	624
219	647
220	652
221	701
222	701
223	613
224	550
225	565
226	564
227	538
228	572
229	540
230	475
231	536
232	469
233	465
234	511
235	480
236	455
237	473
238	485
239	468
240	543
241	499
242	480
243	495
244	483
245	441
246	453
247	427
248	464
249	492
250	64025

