## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/GW_late_2_08_sorted.bam --OUTPUT results/align_metrics/GW_late_2_08_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 12:54:54 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.434245	5.667487	0	0	0	0	0	0.052021	0.009353	0.062547	0.027069	0.15099	0.23375	0.106364	0.038901	0.015503	0.007216	0.00406	0.002693	0.001611	0.001167	0.000912	0.000749	0.000632	0.000541	0.000474	?	?	?	0.1876	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	728085806
1	40307011
2	31614977
3	26663753
4	22455335
5	18512906
6	15206231
7	12361232
8	9996830
9	8026144
10	6495866
11	5245546
12	4235279
13	3442615
14	2812822
15	2284344
16	1846851
17	1498380
18	1230985
19	1013620
20	838704
21	692453
22	575376
23	487968
24	404683
25	348501
26	296651
27	248287
28	216856
29	188087
30	163681
31	142556
32	126793
33	112934
34	101540
35	90465
36	83834
37	75144
38	68138
39	62876
40	57505
41	52968
42	49416
43	45117
44	41503
45	39024
46	37125
47	35786
48	32584
49	31219
50	29818
51	28587
52	27508
53	25814
54	23769
55	23825
56	22298
57	21655
58	19676
59	19204
60	18767
61	18357
62	16820
63	16006
64	15690
65	15181
66	14442
67	13547
68	13138
69	13221
70	12580
71	12119
72	12237
73	11922
74	11226
75	10581
76	10455
77	10410
78	10010
79	10053
80	9618
81	9248
82	9451
83	8557
84	8623
85	8671
86	8275
87	8086
88	7543
89	7530
90	7146
91	7008
92	6841
93	6647
94	6593
95	6253
96	5963
97	6049
98	5954
99	5909
100	5521
101	5154
102	5102
103	4905
104	4856
105	4752
106	4638
107	4766
108	4544
109	4415
110	4270
111	4373
112	4263
113	4135
114	3975
115	3956
116	4114
117	3918
118	4000
119	3891
120	3717
121	3522
122	3533
123	3652
124	3396
125	3375
126	3251
127	3179
128	3051
129	3072
130	3324
131	2954
132	3028
133	2902
134	2940
135	2810
136	2708
137	2809
138	2718
139	2762
140	2737
141	2671
142	2456
143	2412
144	2437
145	2555
146	2536
147	2577
148	2605
149	2411
150	2347
151	2516
152	2496
153	2338
154	2367
155	2342
156	2275
157	2218
158	2245
159	2276
160	2149
161	2099
162	2112
163	1936
164	2104
165	2040
166	2039
167	1918
168	2020
169	1973
170	1967
171	1789
172	1860
173	1806
174	1759
175	1712
176	1730
177	1653
178	1706
179	1593
180	1528
181	1456
182	1473
183	1428
184	1623
185	1543
186	1523
187	1514
188	1344
189	1423
190	1383
191	1324
192	1352
193	1320
194	1326
195	1202
196	1352
197	1330
198	1399
199	1289
200	1254
201	1273
202	1190
203	1242
204	1187
205	1133
206	1160
207	1124
208	1133
209	1063
210	1064
211	1004
212	999
213	995
214	1016
215	981
216	991
217	978
218	1009
219	994
220	929
221	963
222	930
223	996
224	934
225	951
226	844
227	859
228	906
229	894
230	856
231	914
232	890
233	839
234	875
235	911
236	915
237	923
238	1011
239	955
240	859
241	895
242	826
243	770
244	827
245	760
246	707
247	748
248	689
249	776
250	134989

