## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/GW_peak_2_10_sorted.bam --OUTPUT results/align_metrics/GW_peak_2_10_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 14:01:32 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	2.104	7.282256	0	0	0	0	0	0.051606	0.009064	0.064631	0.036408	0.161708	0.284841	0.14922	0.065652	0.030158	0.015042	0.008424	0.005334	0.002905	0.002001	0.001533	0.001244	0.001049	0.000899	0.000784	?	?	?	0.235533	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	679539332
1	41516937
2	33245460
3	29012719
4	25090942
5	21548601
6	18357443
7	15445027
8	13058952
9	10995357
10	9257406
11	7779806
12	6522098
13	5526884
14	4640420
15	3925397
16	3310586
17	2798360
18	2342931
19	1986251
20	1701531
21	1436611
22	1222734
23	1040688
24	886039
25	767149
26	663469
27	572141
28	498689
29	434964
30	378522
31	329945
32	288384
33	255401
34	227881
35	201007
36	181855
37	163246
38	147391
39	134373
40	120276
41	111289
42	101386
43	93676
44	86606
45	80736
46	73443
47	68415
48	63429
49	59331
50	56408
51	52859
52	49822
53	47687
54	43916
55	42737
56	40119
57	39289
58	36721
59	35256
60	33445
61	31330
62	29720
63	28949
64	28188
65	26486
66	25444
67	24679
68	23665
69	22682
70	21199
71	21025
72	20209
73	19605
74	18108
75	18113
76	17363
77	16831
78	16745
79	16713
80	15868
81	15349
82	14829
83	15059
84	14351
85	14302
86	13971
87	13139
88	12798
89	12126
90	11962
91	11977
92	11862
93	11616
94	10983
95	10666
96	10610
97	10433
98	10209
99	9615
100	9481
101	9367
102	9024
103	9104
104	9129
105	8863
106	8333
107	8279
108	7833
109	8101
110	7593
111	7563
112	7015
113	6980
114	7024
115	7011
116	6958
117	6806
118	6660
119	6348
120	6572
121	6627
122	6038
123	6188
124	5900
125	5847
126	5702
127	5548
128	5500
129	5368
130	5000
131	4890
132	4749
133	4614
134	4696
135	4713
136	4742
137	4545
138	4510
139	4447
140	4342
141	4206
142	4230
143	4271
144	4097
145	3895
146	3999
147	3971
148	3749
149	3716
150	3635
151	3675
152	3572
153	3555
154	3361
155	3459
156	3519
157	3220
158	3202
159	3288
160	3137
161	3129
162	3130
163	3068
164	3086
165	3107
166	2903
167	2951
168	2866
169	3031
170	2735
171	2715
172	2675
173	2688
174	2530
175	2502
176	2466
177	2416
178	2383
179	2421
180	2505
181	2524
182	2447
183	2328
184	2269
185	2283
186	2354
187	2171
188	2306
189	2303
190	2276
191	2193
192	2006
193	2106
194	2073
195	1982
196	2038
197	2086
198	2025
199	1985
200	2010
201	1967
202	1986
203	1935
204	1864
205	1943
206	1825
207	1854
208	1868
209	1889
210	1797
211	1796
212	1733
213	1732
214	1636
215	1573
216	1560
217	1674
218	1635
219	1557
220	1585
221	1602
222	1568
223	1461
224	1496
225	1376
226	1459
227	1476
228	1387
229	1361
230	1311
231	1325
232	1340
233	1321
234	1306
235	1360
236	1322
237	1294
238	1309
239	1331
240	1312
241	1232
242	1196
243	1203
244	1146
245	1145
246	1218
247	1231
248	1189
249	1163
250	230042

