## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/MD_early_1_07_sorted.bam --OUTPUT results/align_metrics/MD_early_1_07_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 14:21:24 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.797813	6.587111	0	0	0	0	0	0.049985	0.009209	0.069423	0.03083	0.159447	0.266122	0.129684	0.052594	0.022737	0.011071	0.006246	0.004061	0.002323	0.001648	0.001278	0.001044	0.000872	0.000748	0.000653	?	?	?	0.216782	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	697325750
1	42346625
2	33894008
3	28934623
4	24467798
5	20530357
6	17048627
7	14182594
8	11773549
9	9714999
10	8017435
11	6583543
12	5488522
13	4534188
14	3746406
15	3097261
16	2556559
17	2136823
18	1797089
19	1496779
20	1259608
21	1051999
22	879279
23	751446
24	642192
25	546498
26	467194
27	405876
28	350835
29	306439
30	267926
31	236328
32	204226
33	182554
34	163129
35	147620
36	130522
37	115946
38	106218
39	96294
40	86327
41	80214
42	73884
43	68695
44	64105
45	59974
46	56592
47	53172
48	51387
49	47652
50	44695
51	42209
52	39430
53	37563
54	35958
55	33067
56	30630
57	30554
58	29392
59	27753
60	25255
61	24349
62	23799
63	23816
64	22885
65	22022
66	21114
67	20242
68	19588
69	18883
70	18137
71	17341
72	16856
73	17164
74	16841
75	16487
76	15894
77	15046
78	15004
79	14983
80	14055
81	13184
82	12675
83	11998
84	11919
85	11573
86	10992
87	10622
88	10956
89	10351
90	9959
91	9894
92	9773
93	9732
94	9345
95	8933
96	8227
97	8120
98	8204
99	8133
100	7969
101	7492
102	7684
103	7378
104	7325
105	7537
106	7230
107	7006
108	6845
109	6698
110	6441
111	6589
112	6045
113	5906
114	5679
115	5871
116	5812
117	5611
118	5725
119	5434
120	5362
121	5321
122	5133
123	5013
124	5107
125	4919
126	4714
127	4534
128	4472
129	4582
130	4343
131	4270
132	4201
133	4147
134	3903
135	3917
136	3840
137	3892
138	3788
139	3553
140	3608
141	3380
142	3402
143	3516
144	3417
145	3390
146	3491
147	3278
148	3585
149	3371
150	3197
151	3232
152	3117
153	3170
154	3150
155	3131
156	3065
157	2931
158	2806
159	2807
160	2810
161	2633
162	2593
163	2731
164	2748
165	2658
166	2555
167	2645
168	2580
169	2525
170	2460
171	2224
172	2201
173	2274
174	2278
175	2157
176	2373
177	2181
178	2155
179	2173
180	2180
181	2082
182	2009
183	2023
184	2087
185	1994
186	1926
187	1980
188	1883
189	1899
190	1875
191	1858
192	1826
193	1745
194	1686
195	1674
196	1647
197	1702
198	1734
199	1783
200	1636
201	1565
202	1522
203	1592
204	1652
205	1581
206	1476
207	1512
208	1523
209	1454
210	1395
211	1439
212	1480
213	1515
214	1491
215	1556
216	1499
217	1472
218	1433
219	1408
220	1319
221	1273
222	1215
223	1194
224	1193
225	1237
226	1224
227	1232
228	1267
229	1209
230	1183
231	1191
232	1109
233	1126
234	1182
235	1262
236	1136
237	1147
238	1049
239	1093
240	1095
241	1016
242	980
243	996
244	1011
245	982
246	969
247	953
248	1007
249	897
250	183189

