## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/MD_late_2_02_sorted.bam --OUTPUT results/align_metrics/MD_late_2_02_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 15:33:05 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.19167	5.239114	0	0	0	0	0	0.04782	0.009344	0.076706	0.029227	0.163097	0.210555	0.086486	0.028979	0.011385	0.005589	0.003372	0.002358	0.001468	0.001062	0.000827	0.000674	0.000562	0.000482	0.000421	?	?	?	0.166349	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	750125433
1	41498115
2	30627475
3	25171869
4	20592342
5	16528834
6	13098722
7	10408532
8	8189836
9	6416176
10	5050598
11	3998526
12	3151051
13	2499983
14	2017371
15	1599928
16	1289501
17	1062378
18	855183
19	701225
20	577005
21	483589
22	406162
23	345895
24	293847
25	249044
26	215038
27	186638
28	165794
29	146552
30	128246
31	115334
32	102018
33	93092
34	82858
35	75354
36	69125
37	64336
38	60086
39	55230
40	51016
41	48724
42	44217
43	41311
44	38480
45	35806
46	33845
47	31871
48	30954
49	29275
50	27533
51	26155
52	24792
53	23608
54	23116
55	21655
56	20256
57	19577
58	19021
59	17651
60	16887
61	16358
62	15593
63	14799
64	14365
65	14354
66	14164
67	13896
68	13098
69	12517
70	12505
71	12167
72	11497
73	11064
74	10702
75	10205
76	9875
77	9598
78	9487
79	8850
80	8604
81	8340
82	8024
83	8072
84	7770
85	7182
86	7233
87	6921
88	7043
89	6675
90	6366
91	6559
92	6144
93	6196
94	6002
95	5462
96	5384
97	5351
98	5255
99	5219
100	5110
101	4883
102	4961
103	4947
104	4648
105	4379
106	4499
107	4153
108	4148
109	4102
110	3943
111	4170
112	3941
113	4075
114	4088
115	3947
116	3708
117	3453
118	3600
119	3421
120	3529
121	3236
122	3175
123	3185
124	3143
125	3057
126	2962
127	2875
128	2758
129	3020
130	3149
131	2987
132	2977
133	2638
134	2852
135	2558
136	2475
137	2452
138	2413
139	2314
140	2314
141	2509
142	2619
143	2406
144	2281
145	2301
146	2303
147	2298
148	2135
149	2071
150	2199
151	2093
152	2006
153	1841
154	1887
155	1953
156	1970
157	1837
158	1821
159	1801
160	1729
161	1742
162	1735
163	1632
164	1565
165	1635
166	1472
167	1459
168	1387
169	1419
170	1464
171	1530
172	1477
173	1290
174	1270
175	1363
176	1429
177	1371
178	1299
179	1329
180	1289
181	1251
182	1312
183	1293
184	1312
185	1249
186	1330
187	1268
188	1292
189	1359
190	1222
191	1255
192	1269
193	1121
194	1152
195	1130
196	1070
197	1142
198	1137
199	1174
200	1184
201	1173
202	1070
203	947
204	988
205	1038
206	909
207	927
208	1055
209	979
210	894
211	928
212	956
213	983
214	945
215	879
216	936
217	917
218	851
219	842
220	895
221	943
222	1005
223	884
224	905
225	849
226	825
227	849
228	824
229	788
230	839
231	854
232	840
233	766
234	806
235	731
236	718
237	700
238	771
239	723
240	729
241	668
242	718
243	674
244	667
245	719
246	644
247	617
248	669
249	679
250	118817

