## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/MD_peak_2_05_sorted.bam --OUTPUT results/align_metrics/MD_peak_2_05_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 16:35:33 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	2.108902	7.931988	0	0	0	0	0	0.093713	0.008836	0.076875	0.034421	0.213845	0.237607	0.133613	0.06945	0.037962	0.021833	0.013303	0.008642	0.004386	0.002723	0.001934	0.001499	0.001221	0.001029	0.000888	?	?	?	0.199971	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	724420249
1	33664715
2	25228699
3	21412074
4	18509533
5	16048453
6	13774023
7	11961120
8	10279305
9	8904588
10	7750727
11	6721400
12	5872891
13	5120863
14	4453828
15	3901115
16	3437417
17	3006439
18	2649544
19	2330931
20	2050355
21	1807928
22	1597310
23	1409525
24	1240296
25	1100611
26	981036
27	870887
28	780878
29	695338
30	623572
31	556017
32	497245
33	444104
34	405998
35	368748
36	329662
37	298409
38	269817
39	249970
40	225711
41	204769
42	189690
43	173380
44	161396
45	145124
46	133605
47	124207
48	116213
49	106613
50	97605
51	93171
52	84913
53	81765
54	77268
55	70498
56	66308
57	62163
58	59038
59	56743
60	50957
61	49087
62	45797
63	44360
64	42586
65	40730
66	37752
67	34935
68	33277
69	33696
70	31930
71	30488
72	28489
73	28128
74	26877
75	25155
76	24800
77	24011
78	22715
79	21500
80	20698
81	19741
82	19989
83	18760
84	18177
85	18022
86	17437
87	17273
88	16682
89	15722
90	15426
91	14973
92	14529
93	13782
94	13427
95	12957
96	12558
97	12357
98	11846
99	12004
100	11767
101	11432
102	11209
103	10715
104	10225
105	9946
106	10059
107	9476
108	9341
109	8825
110	8696
111	8366
112	8380
113	8409
114	8048
115	8084
116	7798
117	7606
118	7548
119	7822
120	7173
121	6896
122	7083
123	6878
124	6910
125	6768
126	6621
127	6521
128	6435
129	6302
130	6468
131	6220
132	6250
133	5799
134	5502
135	5402
136	5546
137	5325
138	5266
139	5323
140	4908
141	5008
142	4938
143	5008
144	5034
145	4786
146	4468
147	4349
148	4241
149	4084
150	4142
151	4081
152	4087
153	4242
154	3994
155	3985
156	3929
157	3836
158	3836
159	3886
160	4063
161	3725
162	3672
163	3601
164	3511
165	3634
166	3589
167	3481
168	3294
169	3253
170	3133
171	3187
172	3046
173	3099
174	3134
175	3091
176	3007
177	3096
178	3150
179	3155
180	3019
181	2872
182	2858
183	2711
184	2783
185	2603
186	2507
187	2515
188	2520
189	2544
190	2365
191	2560
192	2374
193	2501
194	2393
195	2261
196	2381
197	2185
198	2099
199	2203
200	2275
201	2354
202	2216
203	2292
204	2197
205	2198
206	2031
207	2069
208	2055
209	2172
210	1998
211	1951
212	2010
213	1901
214	1924
215	1923
216	1898
217	1758
218	1695
219	1723
220	1676
221	1553
222	1619
223	1534
224	1530
225	1727
226	1615
227	1603
228	1658
229	1621
230	1607
231	1590
232	1528
233	1532
234	1452
235	1480
236	1513
237	1547
238	1479
239	1518
240	1465
241	1427
242	1434
243	1525
244	1470
245	1468
246	1495
247	1495
248	1401
249	1409
250	244786

