## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/ME_early_1_03_sorted.bam --OUTPUT results/align_metrics/ME_early_1_03_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 17:02:50 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	2.848346	6.383739	0	0	0	0	0	0.017746	0.011754	0.038102	0.007217	0.074819	0.431829	0.2196	0.089505	0.037369	0.016958	0.00874	0.005169	0.002508	0.001564	0.001092	0.000806	0.000623	0.000497	0.000406	?	?	?	0.353216	2

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	539872463
1	63234925
2	52692342
3	45984085
4	39746966
5	33924422
6	28627212
7	24106577
8	20166438
9	16791075
10	13944998
11	11561459
12	9554115
13	7901038
14	6577570
15	5434946
16	4532632
17	3730645
18	3109571
19	2586622
20	2155615
21	1799489
22	1502546
23	1274469
24	1076425
25	910853
26	774141
27	660346
28	562620
29	484957
30	422833
31	368985
32	319416
33	279241
34	245989
35	218537
36	197575
37	174958
38	157928
39	142714
40	126002
41	118191
42	107584
43	97507
44	91793
45	83382
46	76070
47	70986
48	65659
49	60588
50	57020
51	54259
52	51624
53	47759
54	45465
55	43005
56	40018
57	37650
58	36549
59	34837
60	33500
61	32328
62	30575
63	29198
64	27058
65	26234
66	24654
67	23758
68	22636
69	21440
70	20858
71	20090
72	19301
73	18150
74	17742
75	16978
76	15765
77	15672
78	15204
79	14415
80	13883
81	13336
82	12848
83	12382
84	12208
85	11779
86	11566
87	10907
88	10446
89	10245
90	9757
91	9613
92	9718
93	8969
94	8540
95	8375
96	8407
97	8293
98	7887
99	7549
100	7455
101	7292
102	6912
103	6479
104	6249
105	6180
106	6047
107	5867
108	5582
109	5662
110	5469
111	5179
112	5161
113	4938
114	5042
115	4924
116	4983
117	4536
118	4302
119	4147
120	4061
121	4103
122	4030
123	3929
124	3890
125	3921
126	3496
127	3378
128	3445
129	3256
130	3248
131	3124
132	3299
133	3224
134	3072
135	2979
136	2817
137	2811
138	2849
139	2639
140	2381
141	2448
142	2510
143	2508
144	2304
145	2363
146	2409
147	2330
148	2289
149	2182
150	2202
151	2168
152	2098
153	2142
154	2107
155	2138
156	2095
157	1919
158	1862
159	1827
160	1877
161	1724
162	1720
163	1627
164	1592
165	1597
166	1541
167	1684
168	1487
169	1481
170	1453
171	1361
172	1253
173	1255
174	1225
175	1256
176	1254
177	1223
178	1175
179	1215
180	1219
181	1248
182	1231
183	1207
184	1091
185	1145
186	1115
187	1089
188	1076
189	1075
190	923
191	937
192	992
193	955
194	951
195	1006
196	1042
197	943
198	987
199	1037
200	1019
201	946
202	921
203	866
204	922
205	900
206	905
207	920
208	841
209	818
210	796
211	760
212	752
213	759
214	725
215	778
216	798
217	732
218	777
219	746
220	726
221	736
222	743
223	687
224	622
225	645
226	650
227	695
228	549
229	576
230	571
231	556
232	580
233	513
234	585
235	592
236	579
237	556
238	570
239	538
240	519
241	581
242	526
243	530
244	518
245	548
246	545
247	570
248	577
249	574
250	76368

