## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/ME_late_1_10_sorted.bam --OUTPUT results/align_metrics/ME_late_1_10_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 18:02:24 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.017868	0.673092	0	0	0	0	0	0.150368	0.011171	0.296604	0.030076	0.488218	0.006263	0.000758	0.000203	0.000104	0.000068	0.00005	0.000039	0.000026	0.000019	0.000015	0.000012	0.00001	0.000009	0.000008	?	?	?	0.004486	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	944242399
1	3164242
2	1116121
3	601083
4	348774
5	213142
6	131099
7	82967
8	58886
9	41258
10	29742
11	20590
12	17843
13	14265
14	11731
15	9132
16	8407
17	6628
18	4892
19	5045
20	4944
21	3867
22	3626
23	2825
24	2445
25	2308
26	2471
27	2159
28	1328
29	1858
30	1631
31	1402
32	1560
33	1261
34	1254
35	1229
36	1233
37	1299
38	915
39	737
40	745
41	878
42	589
43	714
44	883
45	590
46	509
47	508
48	427
49	407
50	436
51	343
52	425
53	475
54	540
55	418
56	399
57	347
58	318
59	401
60	303
61	312
62	490
63	292
64	240
65	305
66	258
67	334
68	220
69	183
70	280
71	278
72	188
73	131
74	151
75	185
76	128
77	144
78	181
79	163
80	173
81	131
82	139
83	176
84	159
85	61
86	58
87	100
88	73
89	82
90	115
91	158
92	161
93	114
94	134
95	80
96	98
97	82
98	141
99	80
100	86
101	85
102	55
103	75
104	83
105	60
106	74
107	53
108	159
109	83
110	74
111	40
112	47
113	35
114	63
115	82
116	19
117	80
118	64
119	62
120	96
121	67
122	144
123	66
124	34
125	21
126	67
127	60
128	17
129	56
130	96
131	57
132	27
133	33
134	27
135	17
136	38
137	11
138	41
139	21
140	57
141	59
142	8
143	25
144	7
145	43
146	26
147	43
148	11
149	28
150	69
151	43
152	37
153	28
154	68
155	28
156	31
157	17
158	27
159	12
160	26
161	13
162	25
163	35
164	21
165	6
166	43
167	4
168	20
169	25
170	8
171	22
172	6
173	11
174	21
175	41
176	22
177	4
178	3
179	3
180	1
181	3
182	7
183	20
184	2
185	7
186	24
187	8
188	26
189	50
190	63
191	36
192	24
193	81
194	46
195	9
196	15
197	13
198	13
199	14
200	17
201	29
202	15
203	24
204	61
205	18
206	3
207	43
208	10
209	27
210	11
211	31
212	26
213	13
214	21
215	48
216	53
217	4
218	6
219	10
220	14
221	15
222	32
223	23
224	7
225	14
226	18
227	4
228	23
229	2
230	7
231	49
232	13
233	31
234	14
235	67
236	2
237	1
238	2
239	5
240	21
241	3
242	7
243	7
244	9
245	15
246	10
247	11
248	2
249	1
250	2491

