## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/ME_peak_2_06_sorted.bam --OUTPUT results/align_metrics/ME_peak_2_06_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 19:28:54 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	6.750166	13.010674	2	2	0	0	0	0.015568	0.010157	0.055147	0.01528	0.096151	0.56463	0.391991	0.243341	0.150072	0.093465	0.059638	0.039368	0.019337	0.011105	0.007222	0.005124	0.003861	0.003036	0.002461	?	?	?	0.499803	3

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	413685453
1	47590944
2	41488694
3	38778646
4	36182706
5	33338193
6	30680204
7	28127633
8	25700797
9	23399041
10	21283989
11	19390039
12	17588706
13	15934338
14	14426770
15	13046648
16	11800709
17	10661841
18	9618553
19	8659879
20	7817040
21	7065476
22	6353303
23	5723324
24	5182278
25	4671999
26	4219417
27	3800995
28	3440719
29	3128176
30	2817434
31	2560906
32	2325637
33	2109713
34	1910935
35	1741751
36	1584100
37	1447770
38	1322974
39	1211377
40	1104211
41	1018111
42	931483
43	858084
44	790722
45	727046
46	664941
47	619768
48	575269
49	532243
50	494152
51	456662
52	428420
53	400798
54	370303
55	348041
56	328443
57	305521
58	287687
59	269574
60	253342
61	238465
62	227202
63	213567
64	203006
65	190798
66	180274
67	171343
68	162245
69	153981
70	145772
71	138698
72	133815
73	128128
74	122682
75	115474
76	111175
77	104849
78	102508
79	96662
80	93119
81	88552
82	86258
83	83805
84	78451
85	75814
86	73675
87	70545
88	67997
89	65300
90	62641
91	60684
92	58731
93	57081
94	55939
95	53264
96	51624
97	50459
98	48875
99	47238
100	44637
101	44066
102	43572
103	41316
104	40042
105	39160
106	38130
107	37537
108	36170
109	35144
110	34309
111	33897
112	32721
113	32398
114	31569
115	30417
116	30100
117	29131
118	28274
119	27603
120	27152
121	26510
122	26072
123	25112
124	24494
125	23701
126	22932
127	22202
128	21844
129	21411
130	21190
131	20623
132	20295
133	19669
134	19197
135	19039
136	18588
137	18114
138	17728
139	17244
140	16891
141	16655
142	15935
143	15979
144	15679
145	15222
146	14581
147	13986
148	14214
149	14082
150	13961
151	13537
152	13063
153	12704
154	12374
155	12118
156	11777
157	11318
158	11327
159	11257
160	10965
161	10693
162	10672
163	10324
164	9979
165	9931
166	9980
167	9744
168	9392
169	9328
170	9370
171	9046
172	8957
173	9155
174	9029
175	8639
176	8445
177	7982
178	8192
179	7792
180	7850
181	7731
182	7951
183	7628
184	7413
185	7353
186	7247
187	6731
188	6859
189	6667
190	6699
191	6510
192	6368
193	6375
194	6374
195	6262
196	6337
197	6298
198	6204
199	5948
200	6087
201	6069
202	5802
203	5725
204	5525
205	5578
206	5596
207	5391
208	5269
209	5160
210	5200
211	5228
212	5124
213	5104
214	5004
215	4872
216	4778
217	4746
218	4886
219	4588
220	4493
221	4408
222	4498
223	4481
224	4317
225	4332
226	4138
227	3962
228	3964
229	3992
230	3889
231	3989
232	3850
233	3812
234	3833
235	3629
236	3665
237	3519
238	3632
239	3579
240	3455
241	3452
242	3290
243	3232
244	3260
245	3099
246	3136
247	3072
248	3075
249	3018
250	376467

