## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/MR_late_2_07_sorted.bam --OUTPUT results/align_metrics/MR_late_2_07_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 20:25:06 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.961042	6.410518	0	0	0	0	0	0.050387	0.009053	0.067786	0.017345	0.144571	0.2838	0.142714	0.05996	0.026839	0.01324	0.007381	0.004654	0.002441	0.001614	0.001196	0.000945	0.000772	0.000648	0.000552	?	?	?	0.232896	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	680528034
1	43209671
2	34943152
3	30047287
4	25859706
5	21844586
6	18299679
7	15252439
8	12666485
9	10568599
10	8777342
11	7310176
12	6074719
13	5066617
14	4242660
15	3538034
16	2985900
17	2503313
18	2116769
19	1778026
20	1489459
21	1271096
22	1086924
23	921052
24	797920
25	680998
26	584670
27	506221
28	435499
29	383773
30	336564
31	298774
32	262316
33	231702
34	207776
35	187122
36	168505
37	152292
38	135026
39	122817
40	109967
41	100388
42	94141
43	84296
44	78085
45	72694
46	69037
47	64528
48	57968
49	54469
50	51826
51	47898
52	44436
53	42695
54	40000
55	37952
56	35063
57	32941
58	33197
59	31225
60	29967
61	27953
62	26121
63	24785
64	24326
65	23003
66	22045
67	20469
68	20643
69	19999
70	19215
71	18546
72	17584
73	17391
74	16446
75	15966
76	15105
77	14929
78	14505
79	14179
80	13531
81	13093
82	13043
83	12131
84	11759
85	11280
86	11440
87	10742
88	10253
89	10308
90	10184
91	10133
92	10097
93	9379
94	8955
95	8847
96	8644
97	8397
98	8274
99	8300
100	8056
101	7823
102	7624
103	7446
104	7013
105	7171
106	7031
107	6876
108	6665
109	6429
110	6386
111	6358
112	6402
113	5944
114	5757
115	5380
116	5428
117	5236
118	5041
119	5108
120	4986
121	5017
122	4902
123	4689
124	4362
125	4475
126	4496
127	4279
128	4274
129	4103
130	4098
131	4065
132	3882
133	3871
134	4030
135	3903
136	3704
137	3481
138	3399
139	3508
140	3368
141	3141
142	3214
143	3083
144	3013
145	2975
146	3008
147	2847
148	2806
149	2846
150	2764
151	2851
152	2876
153	2911
154	2623
155	2513
156	2395
157	2508
158	2390
159	2432
160	2180
161	2230
162	2198
163	2136
164	2193
165	2155
166	2018
167	2159
168	2151
169	2071
170	1980
171	1963
172	1991
173	2005
174	1993
175	2081
176	1840
177	1927
178	1827
179	1753
180	1891
181	1734
182	1747
183	1745
184	1821
185	1727
186	1776
187	1706
188	1714
189	1719
190	1674
191	1550
192	1660
193	1633
194	1628
195	1639
196	1525
197	1508
198	1526
199	1537
200	1456
201	1391
202	1324
203	1340
204	1317
205	1288
206	1324
207	1319
208	1267
209	1194
210	1228
211	1204
212	1208
213	1195
214	1145
215	1185
216	1170
217	1085
218	1050
219	1043
220	1058
221	1054
222	1063
223	1081
224	1068
225	986
226	1026
227	980
228	983
229	990
230	926
231	1012
232	938
233	945
234	963
235	943
236	932
237	914
238	916
239	884
240	842
241	901
242	914
243	979
244	909
245	912
246	906
247	903
248	920
249	813
250	127844

