## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/MR_peak_1_07_sorted.bam --OUTPUT results/align_metrics/MR_peak_1_07_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 20:56:50 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.233735	4.200384	0	0	0	0	0	0.051685	0.008805	0.065482	0.007016	0.132988	0.23859	0.096277	0.029769	0.010123	0.004245	0.002305	0.001521	0.000894	0.000623	0.000468	0.000365	0.000295	0.000243	0.000205	?	?	?	0.18784	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	723486548
1	46259102
2	35694805
3	29408222
4	23863027
5	19150826
6	15245001
7	12005726
8	9402968
9	7391108
10	5768626
11	4483010
12	3510939
13	2744101
14	2160224
15	1686240
16	1333404
17	1064124
18	837370
19	664552
20	533775
21	429296
22	350299
23	290554
24	239337
25	202494
26	169422
27	141930
28	124624
29	106798
30	93899
31	82884
32	73316
33	65237
34	58107
35	52406
36	47150
37	43161
38	42057
39	37583
40	34644
41	31999
42	29301
43	27205
44	25134
45	24877
46	22934
47	21086
48	19607
49	20187
50	18652
51	17064
52	16472
53	15353
54	14168
55	14032
56	13688
57	12711
58	13234
59	12333
60	11974
61	11257
62	10988
63	9714
64	9550
65	9691
66	9527
67	8710
68	8292
69	8124
70	8019
71	7353
72	7185
73	6503
74	6355
75	6815
76	6374
77	6069
78	6234
79	5436
80	5350
81	5484
82	5477
83	5092
84	5207
85	4898
86	4578
87	4479
88	4390
89	4186
90	4088
91	4092
92	3864
93	3867
94	3773
95	3864
96	3515
97	3355
98	3252
99	3041
100	3001
101	2983
102	2848
103	3005
104	2729
105	2825
106	2732
107	2557
108	2530
109	2508
110	2296
111	2435
112	2281
113	2220
114	2321
115	2023
116	2022
117	2025
118	2020
119	2029
120	2125
121	2035
122	1994
123	1884
124	1774
125	1773
126	1577
127	1656
128	1630
129	1667
130	1584
131	1667
132	1616
133	1626
134	1469
135	1527
136	1446
137	1240
138	1439
139	1404
140	1259
141	1254
142	1318
143	1369
144	1268
145	1191
146	1154
147	1175
148	1080
149	1157
150	1054
151	1118
152	1029
153	969
154	1066
155	1044
156	958
157	926
158	1019
159	975
160	1090
161	1095
162	1148
163	1067
164	1080
165	980
166	860
167	916
168	922
169	824
170	816
171	855
172	753
173	706
174	733
175	820
176	796
177	643
178	635
179	634
180	613
181	585
182	678
183	696
184	655
185	629
186	620
187	594
188	625
189	538
190	532
191	571
192	548
193	551
194	463
195	519
196	518
197	582
198	565
199	573
200	552
201	599
202	515
203	512
204	470
205	453
206	486
207	456
208	463
209	466
210	491
211	477
212	446
213	416
214	446
215	410
216	465
217	460
218	454
219	446
220	453
221	457
222	428
223	443
224	515
225	389
226	402
227	376
228	345
229	408
230	417
231	404
232	370
233	375
234	397
235	361
236	350
237	282
238	322
239	403
240	388
241	361
242	296
243	269
244	287
245	295
246	308
247	273
248	329
249	290
250	39919

