## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/RW_early_1_04_sorted.bam --OUTPUT results/align_metrics/RW_early_1_04_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 21:47:24 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	3.056444	6.801106	0	0	0	0	0	0.017085	0.010787	0.04764	0.005422	0.080934	0.447626	0.234096	0.097568	0.041382	0.018957	0.009857	0.00591	0.002937	0.001848	0.001311	0.000987	0.000772	0.000623	0.000516	?	?	?	0.369616	2

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	524862091
1	62166481
2	52980481
3	46809440
4	40938340
5	35213401
6	29996878
7	25373337
8	21256970
9	17887829
10	14877080
11	12409226
12	10352098
13	8609071
14	7139405
15	5945835
16	4963221
17	4119307
18	3415808
19	2864233
20	2400657
21	2003220
22	1667055
23	1399985
24	1175948
25	1003705
26	851819
27	727599
28	627229
29	540290
30	466203
31	410546
32	358241
33	314404
34	277846
35	243109
36	220959
37	196013
38	177170
39	159731
40	147304
41	133728
42	122256
43	111768
44	102946
45	95639
46	88294
47	83734
48	77503
49	71792
50	67269
51	62290
52	57429
53	53571
54	51750
55	48552
56	46163
57	43126
58	40402
59	39621
60	37609
61	35492
62	33741
63	32175
64	30886
65	30557
66	29400
67	27354
68	26193
69	24939
70	23939
71	22798
72	21946
73	21418
74	20732
75	19951
76	19888
77	18820
78	17419
79	16717
80	16576
81	15935
82	15484
83	14875
84	14113
85	13733
86	13339
87	12916
88	12453
89	12104
90	11621
91	11213
92	11090
93	10318
94	10128
95	9919
96	9839
97	9505
98	9356
99	8736
100	9038
101	8653
102	8612
103	8642
104	8286
105	8128
106	7856
107	7699
108	6904
109	6968
110	6683
111	6575
112	6610
113	6347
114	6031
115	5903
116	5942
117	5784
118	5658
119	5464
120	5277
121	5538
122	5373
123	5235
124	4891
125	4728
126	4427
127	4356
128	4201
129	4294
130	4236
131	4164
132	4057
133	3874
134	3980
135	3853
136	3656
137	3597
138	3507
139	3535
140	3331
141	3193
142	3271
143	3214
144	3123
145	2958
146	3085
147	2928
148	2843
149	2725
150	2655
151	2733
152	2712
153	2583
154	2571
155	2483
156	2456
157	2479
158	2460
159	2341
160	2256
161	2327
162	2352
163	2302
164	2514
165	2267
166	2178
167	2193
168	2110
169	2116
170	2189
171	1966
172	2019
173	1941
174	1931
175	1846
176	1708
177	1779
178	1759
179	1671
180	1671
181	1635
182	1593
183	1635
184	1548
185	1449
186	1492
187	1426
188	1395
189	1350
190	1421
191	1358
192	1300
193	1256
194	1287
195	1224
196	1209
197	1214
198	1250
199	1230
200	1237
201	1185
202	1303
203	1268
204	1232
205	1314
206	1166
207	1110
208	1150
209	1156
210	1110
211	1062
212	1107
213	1075
214	1084
215	1130
216	1062
217	1062
218	1093
219	984
220	1031
221	1015
222	1046
223	964
224	954
225	938
226	953
227	880
228	989
229	874
230	896
231	854
232	843
233	866
234	797
235	742
236	803
237	792
238	757
239	777
240	824
241	747
242	754
243	787
244	808
245	781
246	728
247	690
248	759
249	720
250	88327

