## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/RW_late_1_02_sorted.bam --OUTPUT results/align_metrics/RW_late_1_02_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 22:39:02 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.996871	3.124074	0	0	0	0	0	0.0171	0.011566	0.041788	0.002037	0.072491	0.236058	0.076568	0.018079	0.00527	0.00218	0.001215	0.000807	0.000448	0.000293	0.000208	0.000154	0.000118	0.000095	0.000079	?	?	?	0.178419	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	725892798
1	54730152
2	40707761
3	31730352
4	24377489
5	18440709
6	13792745
7	10254686
8	7523554
9	5564497
10	4073736
11	2988744
12	2212186
13	1654548
14	1242183
15	935167
16	703503
17	543364
18	419628
19	334443
20	262465
21	213645
22	176777
23	142936
24	120720
25	102522
26	86183
27	73481
28	67120
29	58382
30	51959
31	44825
32	39871
33	37156
34	34793
35	31886
36	28427
37	26483
38	23612
39	22163
40	20978
41	18155
42	17486
43	15595
44	14063
45	13257
46	12788
47	12492
48	11373
49	10972
50	10265
51	9588
52	9212
53	8835
54	8171
55	7403
56	7209
57	6865
58	6933
59	6554
60	6182
61	5898
62	6180
63	5537
64	5179
65	4934
66	4770
67	4450
68	4129
69	3871
70	4092
71	3872
72	3655
73	3645
74	3288
75	3052
76	3130
77	3088
78	3164
79	2840
80	2876
81	2592
82	2383
83	2290
84	2119
85	2172
86	2148
87	2002
88	1914
89	1733
90	1694
91	1681
92	1666
93	1597
94	1499
95	1495
96	1495
97	1481
98	1410
99	1321
100	1263
101	1233
102	1184
103	1093
104	982
105	1033
106	1048
107	1049
108	1026
109	1055
110	1020
111	1049
112	958
113	962
114	898
115	939
116	957
117	857
118	894
119	869
120	879
121	737
122	722
123	703
124	730
125	725
126	633
127	715
128	779
129	681
130	677
131	703
132	668
133	686
134	638
135	584
136	598
137	558
138	573
139	542
140	510
141	466
142	484
143	495
144	455
145	442
146	410
147	438
148	473
149	427
150	447
151	444
152	429
153	423
154	433
155	394
156	386
157	327
158	331
159	353
160	362
161	360
162	375
163	367
164	409
165	361
166	383
167	385
168	316
169	410
170	341
171	357
172	371
173	382
174	334
175	316
176	319
177	306
178	342
179	311
180	278
181	264
182	287
183	301
184	267
185	263
186	264
187	278
188	265
189	246
190	223
191	213
192	241
193	224
194	226
195	238
196	231
197	245
198	227
199	259
200	219
201	203
202	181
203	175
204	186
205	212
206	189
207	212
208	160
209	190
210	152
211	195
212	201
213	181
214	191
215	162
216	197
217	180
218	232
219	191
220	163
221	160
222	181
223	184
224	167
225	192
226	158
227	178
228	152
229	140
230	146
231	148
232	150
233	145
234	152
235	145
236	150
237	158
238	154
239	148
240	116
241	126
242	127
243	124
244	101
245	108
246	102
247	136
248	116
249	126
250	12139

