## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/RW_peak_1_02_sorted.bam --OUTPUT results/align_metrics/RW_peak_1_02_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 18 23:39:19 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.815824	2.641121	0	0	0	0	0	0.017023	0.010846	0.043461	0.001785	0.073115	0.208365	0.061745	0.012888	0.003413	0.001357	0.000753	0.000497	0.000278	0.000182	0.00013	0.000098	0.000076	0.00006	0.000049	?	?	?	0.155521	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	752206286
1	51695456
2	37575241
3	28585776
4	21460483
5	15901084
6	11664131
7	8451006
8	6051823
9	4355683
10	3113318
11	2247649
12	1602311
13	1175135
14	864953
15	626036
16	473324
17	359937
18	276325
19	217552
20	168042
21	133181
22	108083
23	88847
24	75676
25	63869
26	55094
27	47299
28	41590
29	36059
30	32337
31	27768
32	23926
33	22533
34	20584
35	18507
36	17406
37	16896
38	14296
39	13927
40	12329
41	11469
42	10496
43	10089
44	8905
45	8610
46	7905
47	7220
48	6866
49	6578
50	6562
51	5770
52	5414
53	5229
54	5021
55	4725
56	4561
57	4222
58	4124
59	3944
60	3892
61	3565
62	3294
63	3153
64	2780
65	2911
66	3001
67	2837
68	2774
69	2510
70	2479
71	2348
72	2292
73	2171
74	1985
75	1920
76	1938
77	1801
78	1697
79	1826
80	1711
81	1848
82	1875
83	1674
84	1598
85	1426
86	1454
87	1412
88	1393
89	1251
90	1277
91	1148
92	1129
93	1136
94	971
95	1117
96	1093
97	997
98	965
99	938
100	919
101	950
102	897
103	855
104	843
105	810
106	841
107	864
108	868
109	803
110	761
111	709
112	682
113	615
114	596
115	645
116	645
117	595
118	540
119	520
120	494
121	557
122	513
123	442
124	473
125	461
126	375
127	420
128	455
129	390
130	356
131	372
132	358
133	363
134	324
135	323
136	316
137	300
138	345
139	309
140	296
141	259
142	257
143	210
144	278
145	212
146	239
147	262
148	305
149	249
150	239
151	238
152	227
153	227
154	206
155	224
156	248
157	228
158	202
159	190
160	206
161	192
162	169
163	170
164	182
165	212
166	245
167	262
168	254
169	164
170	164
171	154
172	158
173	150
174	156
175	119
176	154
177	148
178	157
179	159
180	165
181	166
182	142
183	159
184	129
185	155
186	138
187	136
188	137
189	98
190	107
191	121
192	154
193	117
194	119
195	140
196	124
197	134
198	125
199	126
200	109
201	117
202	129
203	126
204	118
205	150
206	133
207	105
208	91
209	93
210	89
211	102
212	102
213	116
214	124
215	103
216	93
217	125
218	92
219	105
220	81
221	104
222	82
223	78
224	65
225	69
226	78
227	70
228	83
229	58
230	85
231	73
232	56
233	86
234	72
235	70
236	66
237	93
238	98
239	90
240	75
241	57
242	50
243	63
244	82
245	59
246	66
247	70
248	71
249	55
250	7835

