## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/RW_peak_2_01_sorted.bam --OUTPUT results/align_metrics/RW_peak_2_01_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 19 00:06:00 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	4.798125	9.44119	1	1	0	0	0	0.01636	0.010854	0.054234	0.00923	0.090677	0.519031	0.330291	0.177714	0.093574	0.049765	0.027563	0.016228	0.007093	0.004053	0.002731	0.002006	0.001555	0.00125	0.001037	?	?	?	0.448981	3

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	457013850
1	52111183
2	45703996
3	42436006
4	39087598
5	35546555
6	32170646
7	28754108
8	25679100
9	22827579
10	20243060
11	17889064
12	15777612
13	13840400
14	12198851
15	10699271
16	9361615
17	8184964
18	7165539
19	6215523
20	5417376
21	4748390
22	4148070
23	3615022
24	3167907
25	2768168
26	2413720
27	2112597
28	1850777
29	1624787
30	1431547
31	1260701
32	1106011
33	970097
34	854169
35	755780
36	679677
37	602712
38	538247
39	481580
40	432107
41	389135
42	350146
43	317689
44	287540
45	262838
46	243663
47	218251
48	200509
49	186203
50	171000
51	157039
52	145225
53	134718
54	125262
55	118099
56	110324
57	103395
58	99159
59	91692
60	87387
61	81958
62	76743
63	73283
64	69538
65	66036
66	62386
67	59760
68	58095
69	54567
70	52535
71	49174
72	46950
73	45426
74	43982
75	41433
76	38949
77	37866
78	36412
79	34983
80	33743
81	32280
82	31794
83	30454
84	29642
85	28688
86	27034
87	26235
88	25735
89	24234
90	23503
91	22509
92	22055
93	20596
94	20694
95	19961
96	19104
97	18798
98	17662
99	17484
100	17200
101	16650
102	16380
103	15645
104	15432
105	15068
106	15093
107	14443
108	13776
109	12745
110	12567
111	12672
112	12420
113	12117
114	12188
115	11644
116	11570
117	11051
118	10776
119	10545
120	10408
121	10175
122	10155
123	9726
124	9375
125	9308
126	9349
127	9066
128	8695
129	8627
130	8484
131	8454
132	8346
133	8132
134	8105
135	7777
136	7395
137	7245
138	7209
139	6909
140	7181
141	6923
142	6488
143	6373
144	6182
145	6281
146	6050
147	6189
148	6207
149	5919
150	5987
151	5655
152	5568
153	5347
154	5341
155	5303
156	5275
157	4999
158	4808
159	4683
160	4661
161	4533
162	4637
163	4471
164	4445
165	4367
166	4219
167	4135
168	4114
169	4005
170	3892
171	4035
172	3979
173	3830
174	3851
175	3691
176	3702
177	3635
178	3628
179	3479
180	3534
181	3426
182	3473
183	3300
184	3272
185	3188
186	3185
187	3216
188	3146
189	3142
190	3067
191	3090
192	3007
193	2824
194	2854
195	2708
196	2787
197	2720
198	2710
199	2712
200	2705
201	2505
202	2376
203	2380
204	2357
205	2325
206	2372
207	2349
208	2251
209	2371
210	2289
211	2242
212	2227
213	2139
214	2103
215	2105
216	2124
217	2056
218	2084
219	1936
220	1816
221	1864
222	1915
223	1847
224	1818
225	1908
226	1820
227	1907
228	1780
229	1797
230	1906
231	1789
232	1744
233	1657
234	1633
235	1632
236	1766
237	1628
238	1561
239	1548
240	1557
241	1670
242	1548
243	1519
244	1444
245	1430
246	1399
247	1442
248	1402
249	1446
250	187927

