## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/TK_early_2_09_sorted.bam --OUTPUT results/align_metrics/TK_early_2_09_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 19 01:47:25 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.171143	3.496548	0	0	0	0	0	0.015468	0.010167	0.064163	0.002595	0.092393	0.255331	0.092216	0.023855	0.007313	0.003006	0.001628	0.001067	0.000589	0.000379	0.000268	0.0002	0.000156	0.000125	0.000103	?	?	?	0.197897	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	707579664
1	52019480
2	41940542
3	33932467
4	27098139
5	21009325
6	16037257
7	12020873
8	9090387
9	6798185
10	5109171
11	3853576
12	2893614
13	2198233
14	1663253
15	1287816
16	987689
17	760171
18	588692
19	468759
20	374685
21	307662
22	253056
23	202457
24	171009
25	144183
26	117813
27	103426
28	88782
29	78624
30	68332
31	62404
32	54457
33	51767
34	44689
35	41554
36	37390
37	34499
38	31434
39	28089
40	25527
41	26090
42	23120
43	22159
44	21521
45	18563
46	17333
47	16169
48	15231
49	14214
50	13636
51	12806
52	12511
53	11922
54	10875
55	9732
56	9100
57	8633
58	8369
59	7724
60	8124
61	7666
62	7008
63	6910
64	6360
65	6139
66	5977
67	5431
68	5121
69	5291
70	4965
71	4684
72	4477
73	4243
74	4181
75	3972
76	3930
77	3796
78	3891
79	3728
80	3369
81	3374
82	3498
83	3238
84	2855
85	2803
86	2641
87	2756
88	2642
89	2264
90	2439
91	2296
92	2242
93	2293
94	2350
95	1948
96	1933
97	1924
98	1953
99	1782
100	1926
101	1742
102	1780
103	1810
104	1743
105	1547
106	1397
107	1401
108	1295
109	1296
110	1227
111	1277
112	1312
113	1323
114	1257
115	1207
116	1154
117	1106
118	1246
119	1196
120	1249
121	1284
122	1214
123	1097
124	1080
125	1057
126	961
127	940
128	801
129	831
130	832
131	779
132	703
133	699
134	689
135	690
136	775
137	837
138	788
139	804
140	662
141	696
142	761
143	714
144	689
145	662
146	663
147	606
148	619
149	566
150	575
151	580
152	506
153	495
154	498
155	466
156	449
157	483
158	456
159	576
160	485
161	521
162	468
163	488
164	470
165	486
166	470
167	480
168	459
169	415
170	383
171	388
172	381
173	376
174	339
175	325
176	319
177	330
178	329
179	359
180	357
181	325
182	302
183	266
184	269
185	266
186	272
187	290
188	292
189	287
190	308
191	298
192	284
193	290
194	279
195	246
196	292
197	272
198	283
199	265
200	301
201	314
202	351
203	327
204	261
205	287
206	246
207	209
208	207
209	195
210	242
211	275
212	261
213	273
214	244
215	228
216	163
217	195
218	154
219	174
220	175
221	186
222	182
223	164
224	149
225	145
226	177
227	142
228	162
229	148
230	163
231	166
232	160
233	149
234	146
235	147
236	138
237	147
238	160
239	106
240	135
241	112
242	137
243	113
244	148
245	131
246	125
247	139
248	147
249	143
250	16513

