## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/TK_late_1_02_sorted.bam --OUTPUT results/align_metrics/TK_late_1_02_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 19 01:55:32 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	0.536225	3.486272	0	0	0	0	0	0.095527	0.009488	0.062163	0.039271	0.206449	0.111642	0.037425	0.010643	0.003929	0.002012	0.001312	0.000984	0.00066	0.000486	0.00038	0.000313	0.000266	0.000229	0.000199	?	?	?	0.084806	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	844111665
1	27137279
2	18443922
3	14062042
4	10877015
5	8288645
6	6229057
7	4696393
8	3560627
9	2673883
10	2028935
11	1559279
12	1184442
13	910685
14	695842
15	545754
16	431673
17	344661
18	277975
19	222061
20	179893
21	152951
22	128990
23	108983
24	93660
25	77909
26	70431
27	61939
28	54547
29	47348
30	42288
31	40175
32	36167
33	33338
34	31594
35	29009
36	25773
37	25014
38	22683
39	21445
40	20377
41	20600
42	18429
43	17292
44	17005
45	16310
46	14841
47	13746
48	13724
49	13632
50	11680
51	11856
52	11683
53	10921
54	10025
55	9477
56	9056
57	8814
58	8264
59	8146
60	7605
61	7548
62	6820
63	6512
64	6501
65	6652
66	6185
67	5714
68	5131
69	5004
70	5230
71	5032
72	4816
73	4537
74	4389
75	4655
76	4564
77	3915
78	4240
79	3722
80	3740
81	3718
82	3880
83	3610
84	3561
85	3199
86	3321
87	3483
88	3492
89	3122
90	3352
91	2936
92	2877
93	2841
94	2844
95	2865
96	2741
97	2868
98	2564
99	2702
100	2509
101	2704
102	2703
103	2478
104	2503
105	2265
106	2447
107	2261
108	2262
109	2352
110	2148
111	2023
112	1910
113	2024
114	1929
115	1937
116	2008
117	1888
118	1828
119	1859
120	1682
121	1734
122	1611
123	1588
124	1450
125	1514
126	1515
127	1514
128	1432
129	1364
130	1456
131	1411
132	1564
133	1239
134	1201
135	1288
136	1340
137	1401
138	1205
139	1249
140	1160
141	1104
142	1124
143	1133
144	962
145	929
146	996
147	1019
148	1062
149	1080
150	1123
151	1107
152	821
153	821
154	947
155	916
156	820
157	783
158	696
159	697
160	758
161	826
162	727
163	744
164	723
165	775
166	757
167	788
168	842
169	773
170	657
171	689
172	773
173	778
174	695
175	708
176	725
177	780
178	776
179	772
180	684
181	682
182	713
183	715
184	640
185	563
186	694
187	582
188	593
189	525
190	520
191	541
192	652
193	499
194	498
195	524
196	486
197	499
198	549
199	528
200	525
201	517
202	469
203	423
204	408
205	440
206	415
207	417
208	404
209	442
210	394
211	464
212	492
213	411
214	369
215	411
216	368
217	351
218	334
219	319
220	283
221	306
222	318
223	298
224	339
225	278
226	336
227	328
228	335
229	360
230	344
231	356
232	400
233	354
234	342
235	276
236	300
237	330
238	293
239	288
240	301
241	287
242	319
243	293
244	305
245	301
246	290
247	314
248	283
249	261
250	52306

