## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT bam_files/TK_peak_2_07_sorted.bam --OUTPUT results/align_metrics/TK_peak_2_07_wgs_metrics.txt --REFERENCE_SEQUENCE tonsa_genome/hic_output.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 19 03:54:39 UTC 2025

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
950193284	1.655036	4.287646	0	0	0	0	0	0.01516	0.009624	0.066403	0.00358	0.094766	0.320572	0.132654	0.040629	0.013637	0.005528	0.002816	0.00174	0.000915	0.00058	0.000406	0.000301	0.000231	0.000185	0.00015	?	?	?	0.254326	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	645587858
1	58035575
2	47685783
3	39939314
4	32898154
5	26515257
6	21152132
7	16583790
8	13012193
9	10177576
10	7888196
11	6164967
12	4835726
13	3796540
14	2962491
15	2317226
16	1837914
17	1464876
18	1151785
19	933444
20	745407
21	608047
22	486069
23	403444
24	334083
25	278876
26	235473
27	198701
28	166246
29	142512
30	125800
31	111502
32	98286
33	86736
34	76512
35	68021
36	62022
37	55398
38	51417
39	48046
40	42287
41	40372
42	37181
43	33841
44	31715
45	30733
46	28955
47	26373
48	24822
49	22741
50	21275
51	20101
52	18676
53	17268
54	15995
55	15369
56	15262
57	14068
58	13941
59	12803
60	12290
61	12136
62	11242
63	10199
64	9827
65	9755
66	9183
67	8738
68	8458
69	8607
70	8367
71	8246
72	7479
73	6876
74	6721
75	6200
76	5586
77	5870
78	5645
79	5521
80	5436
81	4986
82	4880
83	4398
84	4280
85	4195
86	4107
87	3626
88	3855
89	3739
90	3708
91	3671
92	3457
93	3438
94	3282
95	3460
96	3279
97	3051
98	3117
99	2917
100	2725
101	2538
102	2577
103	2595
104	2533
105	2509
106	2438
107	2394
108	2145
109	2049
110	2091
111	2149
112	1907
113	1852
114	1749
115	1796
116	1786
117	1589
118	1542
119	1538
120	1533
121	1369
122	1303
123	1332
124	1180
125	1304
126	1305
127	1197
128	1199
129	1191
130	1243
131	1151
132	1041
133	1060
134	1085
135	1138
136	1088
137	1119
138	1003
139	1090
140	1104
141	1057
142	1103
143	976
144	924
145	924
146	846
147	806
148	902
149	824
150	883
151	798
152	855
153	787
154	743
155	772
156	763
157	720
158	689
159	724
160	720
161	737
162	684
163	610
164	636
165	609
166	568
167	582
168	582
169	584
170	577
171	593
172	521
173	573
174	561
175	550
176	487
177	546
178	519
179	509
180	470
181	474
182	504
183	479
184	484
185	506
186	483
187	472
188	432
189	424
190	446
191	417
192	394
193	374
194	377
195	406
196	404
197	406
198	397
199	390
200	319
201	347
202	356
203	382
204	358
205	387
206	324
207	313
208	262
209	301
210	330
211	217
212	255
213	282
214	240
215	265
216	259
217	266
218	270
219	285
220	238
221	249
222	233
223	214
224	215
225	228
226	218
227	228
228	252
229	240
230	280
231	257
232	190
233	221
234	222
235	269
236	233
237	231
238	177
239	212
240	195
241	213
242	205
243	228
244	202
245	205
246	222
247	201
248	175
249	191
250	25501

