collection_date,exp_date,site,season,collection_temp,collection_salinity,run,tube,bopyrid,rank,time,ramp_rate,ctmax
2/26/23,2/27/23,Key Largo,early,27,27,1,1,yes,2,52.36666667,0.186188811,37.39583333
2/26/23,2/27/23,Key Largo,early,27,27,1,2,no,6,48.95,0.193531469,36.69345238
2/26/23,2/27/23,Key Largo,early,27,27,1,3,no,5,49.21666667,0.193006993,36.75694444
2/26/23,2/27/23,Key Largo,early,27,27,1,4,yes,1,53.13333333,0.197552448,37.5625
2/26/23,2/27/23,Key Largo,early,27,27,1,5,yes,10,47.81666667,0.201923077,36.44097222
2/26/23,2/27/23,Key Largo,early,27,27,1,6,no,4,49.66666667,0.193006993,36.859375
2/26/23,2/27/23,Key Largo,early,27,27,1,7,no,9,48.15,0.193531469,36.53125
2/26/23,2/27/23,Key Largo,early,27,27,1,8,yes,3,50.18333333,0.191433566,36.97395833
2/26/23,2/27/23,Key Largo,early,27,27,1,9,yes,8,48.56666667,0.193531469,36.61574074
2/26/23,2/27/23,Key Largo,early,27,27,1,10,no,7,48.75,0.193531469,36.64322917
2/26/23,2/28/23,Key Largo,early,27,27,2,1,no,3,43.01666667,0.212062937,36.96527778
2/26/23,2/28/23,Key Largo,early,27,27,2,2,yes,9,41.08333333,0.209615385,36.54583333
2/26/23,2/28/23,Key Largo,early,27,27,2,3,yes,5,42.45,0.207167832,36.83680556
2/26/23,2/28/23,Key Largo,early,27,27,2,4,no,8,41.55,0.209615385,36.63333333
2/26/23,2/28/23,Key Largo,early,27,27,2,5,no,10,40.06666667,0.21013986,36.328125
2/26/23,2/28/23,Key Largo,early,27,27,2,6,yes,2,43.15,0.212062937,36.97916667
2/26/23,2/28/23,Key Largo,early,27,27,2,7,yes,6,42.1,0.207167832,36.75
2/26/23,2/28/23,Key Largo,early,27,27,2,8,no,7,41.9,0.209615385,36.70833333
2/26/23,2/28/23,Key Largo,early,27,27,2,9,no,4,42.7,0.207167832,36.8875
2/26/23,2/28/23,Key Largo,early,27,27,2,10,yes,1,43.65,0.212062937,37.10416667
2/26/23,3/1/23,Key Largo,early,27,27,3,1,no,8,40.13333333,0.195629371,36.33101852
2/26/23,3/1/23,Key Largo,early,27,27,3,2,yes,2,43.16666667,0.176748252,36.9375
2/26/23,3/1/23,Key Largo,early,27,27,3,3,yes,1,44.4,0.182467532,37.20833333
2/26/23,3/1/23,Key Largo,early,27,27,3,4,no,3,43.01666667,0.176748252,36.91145833
2/26/23,3/1/23,Key Largo,early,27,27,3,5,yes,6,41.25,0.180594406,36.57142857
2/26/23,3/1/23,Key Largo,early,27,27,3,6,no,7,40.63333333,0.195629371,36.4375
2/26/23,3/1/23,Key Largo,early,27,27,3,7,no,4,42.43333333,0.176573427,36.8
2/26/23,3/1/23,Key Largo,early,27,27,3,8,yes,5,41.73333333,0.180594406,36.65833333
2/26/23,3/1/23,Key Largo,early,27,27,3,9,yes,10,38.03333333,0.200524476,35.89583333
2/26/23,3/1/23,Key Largo,early,27,27,3,10,no,9,38.68333333,0.200524476,36.03977273
2/26/23,3/1/23,Key Largo,early,27,27,4,1,yes,5,45.78333333,0.190734266,36.48958333
2/26/23,3/1/23,Key Largo,early,27,27,4,2,no,8,43.83333333,0.197552448,36.10416667
2/26/23,3/1/23,Key Largo,early,27,27,4,3,no,7,44.1,0.194405594,36.171875
2/26/23,3/1/23,Key Largo,early,27,27,4,4,yes,3,47.71666667,0.18548951,36.88888889
2/26/23,3/1/23,Key Largo,early,27,27,4,5,yes,9,42.1,0.191608392,35.73484848
2/26/23,3/1/23,Key Largo,early,27,27,4,6,no,6,44.53333333,0.194405594,36.24702381
2/26/23,3/1/23,Key Largo,early,27,27,4,7,no,4,47.08333333,0.18548951,36.75833333
2/26/23,3/1/23,Key Largo,early,27,27,4,8,yes,10,39.63333333,0.198076923,35.19791667
2/26/23,3/1/23,Key Largo,early,27,27,4,9,yes,1,49.93333333,0.184160839,37.3125
2/26/23,3/1/23,Key Largo,early,27,27,4,10,no,2,49.71666667,0.184160839,37.26041667
2/26/23,2/26/23,Key Largo,early,27,27,5,1,no,3,47.6,0.192132867,37.015625
2/26/23,2/26/23,Key Largo,early,27,27,5,2,no,7,45.85,0.195104895,36.6412037
2/26/23,2/26/23,Key Largo,early,27,27,5,3,no,2,47.68333333,0.192132867,37.04166667
2/26/23,2/26/23,Key Largo,early,27,27,5,4,no,6,46.71666667,0.18951049,36.80952381
2/26/23,2/26/23,Key Largo,early,27,27,5,5,no,9,44.15,0.193706294,36.31666667
2/26/23,2/26/23,Key Largo,early,27,27,5,6,no,10,43.95,0.188286713,36.27256944
2/26/23,2/26/23,Key Largo,early,27,27,5,7,no,8,44.61666667,0.193706294,36.40833333
2/26/23,2/26/23,Key Largo,early,27,27,5,8,no,5,47,0.190777972,36.86666667
2/26/23,2/26/23,Key Largo,early,27,27,5,9,no,4,47.25,0.192132867,36.9375
