collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
11/17/23,Tyler Cove,late,13,23,1,1,58,18,0.8
11/17/23,Tyler Cove,late,13,23,1,2,49,7,0.799
11/17/23,Tyler Cove,late,13,23,1,3,58,39,0.748
11/17/23,Tyler Cove,late,13,23,1,4,60,7,0.837
11/17/23,Tyler Cove,late,13,23,1,5,46,55,0.799
11/17/23,Tyler Cove,late,13,23,1,6,59,0,0.826
11/17/23,Tyler Cove,late,13,23,1,7,59,18,0.825
11/17/23,Tyler Cove,late,13,23,1,8,55,4,0.851
11/17/23,Tyler Cove,late,13,23,1,9,60,32,0.809
11/17/23,Tyler Cove,late,13,23,1,10,54,15,0.718
,,,,,,,,,
